Backpack Acceleration Sensor, Human Sensor Module
time, accX, accY, accZ, gyX, gyY, gyZ
6.35, 0.95, 0.38, 0.04, -13658.00, 29771.00, -8986.00
6.39, 0.64, 0.40, 0.26, -26922.00, 28348.00, -3561.00
6.42, 0.38, 0.31, 0.61, -27717.00, 20453.00, 5568.00
6.46, 0.69, -0.30, 0.91, -20864.00, 19717.00, 17984.00
6.50, 0.66, -0.22, 1.25, -1174.00, 2706.00, 23011.00
6.54, 0.99, 0.06, 0.48, -2705.00, -9418.00, 21583.00
6.58, 0.68, -0.24, 0.78, -15654.00, -4702.00, 25886.00
6.63, 0.52, -0.48, 0.51, -19308.00, -11885.00, 31915.00
6.68, 0.70, -0.60, 0.55, -17982.00, -14103.00, 31592.00
6.73, 0.68, -0.75, 0.28, -9126.00, -3917.00, 29627.00
6.77, 0.49, -0.97, 0.47, 6935.00, 2869.00, 23147.00
6.82, 0.34, -0.70, 0.52, 4974.00, 5086.00, 17074.00
6.86, 0.26, -0.79, 0.62, 2049.00, 466.00, 13185.00
7.01, 0.11, -0.46, 0.45, 16420.00, 16438.00, -27614.00
7.04, 0.06, -0.30, 0.51, 12884.00, 18188.00, -32768.00
7.08, -0.24, -0.41, 0.28, 23501.00, 9790.00, -32768.00
7.12, -0.12, -0.21, 0.66, 19031.00, 1141.00, -32768.00
7.16, 0.29, 0.16, 0.96, 726.00, -2255.00, -14891.00
7.20, 0.73, -0.41, 0.36, 8474.00, 22836.00, -29334.00
7.24, 0.41, -0.51, 1.07, 20643.00, 20529.00, -32768.00
7.29, -0.02, 0.80, 2.00, -598.00, 1547.00, -32290.00
7.33, 0.50, 0.10, 1.24, -4031.00, -7535.00, -32243.00
7.38, 0.60, -0.03, 1.05, 508.00, 13909.00, -22552.00
7.43, 0.22, 0.44, 1.46, -4015.00, 7040.00, -17512.00
7.47, -0.31, 0.40, 1.90, -7111.00, -9921.00, -15346.00
7.52, 0.24, 0.14, 1.47, -1802.00, -1355.00, -7412.00
7.57, 0.51, 0.36, 1.18, 4828.00, 2137.00, -5439.00
7.61, 0.31, 0.22, 1.06, 1912.00, 4581.00, -11928.00
7.66, 0.50, -0.10, 0.74, 6224.00, 20569.00, -25573.00
7.70, 0.13, 0.52, 0.36, 6776.00, 27326.00, -11313.00
7.75, 0.01, 0.34, 1.18, 1585.00, 5883.00, -3841.00
7.79, -0.05, 0.34, 1.37, 1494.00, 3924.00, 2791.00
7.84, -0.08, 0.29, 1.24, 224.00, -47.00, 3140.00
7.87, -0.08, 0.45, 0.85, -1359.00, -1492.00, 3879.00
7.92, -0.19, 0.02, 1.00, -1950.00, -2207.00, 355.00
7.97, 0.22, 0.21, 0.82, 4685.00, 11537.00, 509.00
8.01, -0.04, 0.14, 1.20, 3615.00, 3481.00, 2800.00
8.06, -0.10, 0.32, 1.18, -2128.00, 229.00, 4872.00
8.10, 0.04, 0.24, 0.74, -871.00, -424.00, 6218.00
8.14, 2.00, -1.01, 0.11, 16181.00, 20457.00, 12255.00
8.19, 0.78, 0.21, 1.21, 5859.00, -5644.00, 11044.00
8.24, 0.11, 0.06, 0.96, 7355.00, 869.00, 6540.00
8.27, 0.26, 0.48, 0.76, 2850.00, 4280.00, 5400.00
8.32, 0.08, 0.53, 0.84, -9221.00, -1936.00, 9890.00
8.36, -0.05, 0.35, 1.13, -4268.00, -8763.00, 5514.00
8.41, 0.06, 0.21, 0.92, -5693.00, -6058.00, 9466.00
8.45, 0.25, 0.28, 0.94, 32.00, 3558.00, -4221.00
8.49, 0.07, 0.24, 0.93, -2052.00, -1837.00, -2548.00
8.54, 0.11, 0.32, 1.44, 4550.00, -13953.00, -10692.00
8.59, -0.32, 0.15, 1.78, -6742.00, -13089.00, -7465.00
8.63, -0.06, -0.39, 1.55, 18098.00, -32768.00, -11263.00
8.68, 0.09, 0.21, 1.00, 6723.00, 4963.00, 7630.00
8.73, 0.02, 0.19, 0.67, 1691.00, 16728.00, 17104.00
8.77, -0.28, 0.72, 1.65, 1689.00, 32767.00, 16178.00
8.82, 0.23, 0.53, 1.52, 12019.00, 3321.00, -2036.00
8.86, 0.17, 0.57, 0.84, 4238.00, -5377.00, 3034.00
8.91, 0.46, 0.27, 1.05, -8160.00, -3398.00, 891.00
8.95, 0.44, 0.40, 0.72, -7778.00, 2875.00, 470.00
8.99, 0.32, -0.06, 1.16, -5914.00, 422.00, -1195.00
9.04, 0.24, -0.09, 1.06, -1982.00, 3268.00, -420.00
9.08, 0.15, 0.00, 1.09, 1659.00, 1631.00, -7245.00
9.13, -0.19, -0.50, 1.30, -3437.00, -8132.00, -4401.00
9.17, 0.85, 0.10, 0.58, 10778.00, 3124.00, 8751.00
9.22, 0.87, 0.37, 0.51, 7262.00, 8944.00, 11422.00
9.26, -1.06, 0.93, 1.97, 7176.00, 8985.00, 8650.00
9.30, 0.17, 0.59, 2.00, -4995.00, 9940.00, 21001.00
9.35, 0.03, 0.08, 1.24, -7883.00, -19.00, 14340.00
9.39, -0.16, 0.37, 1.38, -1476.00, 1396.00, -1209.00
9.44, 0.38, -1.06, 1.04, -32768.00, 12648.00, 7913.00
9.48, 0.47, -0.45, 1.13, -4568.00, 25123.00, -285.00
9.53, -0.08, -0.37, 0.94, 717.00, 16876.00, -8923.00
9.57, -0.05, 0.05, 1.30, 4415.00, 7223.00, -5750.00
9.62, 0.10, -0.01, 0.99, 2097.00, -911.00, -6655.00
9.67, 0.16, 0.09, 0.86, -4088.00, -4689.00, 2499.00
9.71, 0.22, 0.14, 1.26, -12738.00, 7517.00, -6059.00
9.76, 0.39, 0.21, 0.46, -13050.00, 20502.00, -1312.00
9.80, 0.07, -0.53, 0.94, 1927.00, -14.00, 3171.00
9.85, 0.20, -0.18, 0.82, 4216.00, 3131.00, 270.00
9.89, 0.08, -0.11, 1.04, 2353.00, 3426.00, -5263.00
9.93, -0.21, -0.30, 1.13, 2236.00, 266.00, -8207.00
9.98, 0.03, -0.27, 1.02, 3115.00, -901.00, 1951.00
10.02, 0.15, -0.18, 1.05, 4477.00, 611.00, -1402.00
10.06, 0.01, -0.14, 1.14, 5061.00, 606.00, -278.00
10.11, 0.10, 0.06, 0.92, 3066.00, -1818.00, -79.00
10.15, -0.20, 0.07, 1.11, 435.00, -560.00, -3848.00
10.20, -0.14, -0.11, 1.17, -744.00, -3022.00, -889.00
10.24, -0.01, -0.12, 1.21, 2548.00, -6311.00, 643.00
10.28, 0.26, 0.13, 1.12, -807.00, -4342.00, -49.00
10.33, -0.14, 0.07, 0.86, -4349.00, 400.00, -2577.00
10.37, 0.06, -0.08, 1.18, -2704.00, 2623.00, 93.00
10.41, 0.10, -0.32, 1.00, -1355.00, 542.00, 172.00
10.46, 0.18, -0.26, 1.05, 3666.00, 715.00, 1132.00
10.50, 0.03, -0.07, 1.08, 3795.00, 1440.00, 235.00
10.54, 0.05, 0.20, 1.05, 619.00, 94.00, 994.00
10.58, -0.19, -0.22, 1.38, -1099.00, -1370.00, -418.00
10.63, 0.21, -0.36, 1.01, 1574.00, 89.00, 258.00
10.67, 0.12, -0.09, 1.06, 2356.00, 1105.00, 244.00
10.71, 0.02, -0.04, 1.06, 1292.00, 301.00, 105.00
10.75, 0.20, -0.12, 0.98, 89.00, 1588.00, -150.00
10.79, 0.11, 0.06, 0.92, 20.00, 4809.00, -832.00
10.84, 0.04, -0.16, 1.08, 311.00, -367.00, 632.00
10.88, 0.04, -0.20, 1.01, 1638.00, 1164.00, 978.00
10.92, 0.12, -0.08, 1.04, 1730.00, 24.00, 3352.00
10.96, -0.17, -0.04, 1.08, 94.00, -426.00, -915.00
