Backpack Acceleration Sensor, Human Sensor Module
time, accX, accY, accZ, gyX, gyY, gyZ
0.00, -0.00, 0.08, 0.86, 180.00, -396.00, 43.00
0.12, 0.01, 0.03, 0.92, -306.00, -833.00, -282.00
0.24, 0.07, -0.01, 0.98, -414.00, 616.00, -1264.00
0.35, 0.00, -0.05, 1.05, -629.00, 861.00, -998.00
0.47, 0.05, -0.02, 1.01, -1178.00, 284.00, -2066.00
0.58, 0.02, 0.06, 1.01, -3415.00, 256.00, -899.00
0.70, 0.05, -0.06, 0.98, -349.00, -525.00, 96.00
0.81, 0.06, -0.02, 0.98, -322.00, -828.00, 438.00
0.93, 0.05, -0.00, 1.03, 205.00, 374.00, 419.00
1.04, 0.07, -0.01, 0.98, -382.00, 154.00, -286.00
1.15, 0.06, 0.00, 0.98, -997.00, 98.00, -1094.00
1.27, 0.03, -0.06, 1.01, 450.00, 631.00, -705.00
1.38, 0.06, 0.02, 0.95, 554.00, -299.00, 657.00
1.49, 0.01, -0.01, 0.95, 960.00, 1126.00, 139.00
1.61, 0.02, 0.03, 1.01, 75.00, 1591.00, 458.00
1.72, -0.04, -0.08, 1.08, 1420.00, 1224.00, 271.00
1.83, -0.02, -0.00, 1.00, 1317.00, -486.00, 1018.00
1.95, -0.00, 0.01, 1.02, 374.00, -270.00, -171.00
2.06, -0.02, -0.07, 1.04, 683.00, -3035.00, -2090.00
2.19, -0.02, 0.04, 0.97, 4249.00, 373.00, 1206.00
2.30, -0.02, 0.00, 1.01, 1661.00, 277.00, 505.00
2.41, 0.00, 0.01, 1.01, 373.00, -179.00, -213.00
2.52, -0.00, 0.01, 0.96, -500.00, -1095.00, 509.00
2.64, -0.01, 0.03, 0.93, -105.00, -281.00, 9.00
2.75, 0.03, 0.00, 0.95, -629.00, 338.00, -75.00
2.86, -0.02, 0.01, 0.98, -506.00, -106.00, -490.00
2.98, -0.00, 0.02, 0.98, -649.00, 310.00, -108.00
3.09, 0.01, 0.01, 0.99, -65.00, -483.00, 12.00
3.21, -0.00, 0.02, 1.01, -2002.00, -1191.00, -41.00
3.32, 0.03, -0.02, 0.98, -79.00, -1352.00, -372.00
3.44, 0.02, 0.02, 1.01, 760.00, -269.00, -353.00
3.55, 0.02, 0.00, 1.00, 423.00, 964.00, 813.00
3.66, 0.00, -0.01, 0.99, -372.00, 547.00, 232.00
3.77, -0.02, -0.01, 1.01, -63.00, 356.00, -227.00
3.89, 0.01, 0.00, 1.02, -707.00, 385.00, 396.00
4.00, -0.01, -0.00, 1.03, -1139.00, 909.00, 501.00
4.11, -0.00, 0.03, 1.00, 429.00, 931.00, -90.00
4.23, -0.01, -0.04, 0.99, -541.00, -114.00, 777.00
4.34, 0.02, 0.02, 0.97, 678.00, 402.00, 449.00
4.46, 0.01, 0.04, 1.06, 727.00, -26.00, 660.00
4.57, 0.81, 0.33, 0.53, -1932.00, 766.00, -4927.00
4.68, 0.05, -0.04, -0.03, -9736.00, 12988.00, -8459.00
4.80, 0.04, -0.05, -0.02, -9361.00, 12408.00, -7792.00
