Backpack Acceleration Sensor, Human Sensor Module
time, accX, accY, accZ, gyX, gyY, gyZ
0.00, 0.01, 0.23, 0.90, -718.00, -89.00, 4607.00
0.04, 0.05, 0.43, 0.32, -9102.00, -3711.00, 12951.00
0.08, 0.51, -0.16, 0.92, -11671.00, -8247.00, 30606.00
0.11, 1.01, -0.02, 0.94, -4533.00, -5911.00, 17079.00
0.14, 1.47, -0.81, 0.80, -813.00, 6182.00, -15865.00
0.17, 0.69, 0.24, 0.70, -2674.00, 3218.00, 8521.00
0.21, 0.77, 0.27, 0.51, -9310.00, 8059.00, 4041.00
0.24, 0.30, -0.17, 0.97, -9910.00, 10813.00, 2708.00
0.28, 0.42, -0.41, 1.20, -2945.00, -758.00, -12146.00
0.31, 0.55, -0.20, 1.25, 3051.00, -6693.00, -20134.00
0.34, 0.44, 0.31, 1.02, -3365.00, -8662.00, -16804.00
0.37, 0.84, -0.05, 0.33, -7143.00, -1445.00, -6320.00
0.41, 0.66, 0.11, 0.55, -10096.00, 1539.00, -2500.00
0.44, 0.29, -0.24, 1.07, -11237.00, 1664.00, 1842.00
0.47, 0.59, -0.34, 0.89, -5466.00, -63.00, -587.00
0.51, 0.30, -0.19, 0.75, 5474.00, -964.00, -891.00
0.54, 0.45, -0.25, 1.02, 14936.00, -11255.00, -10518.00
0.57, 0.43, 0.10, 0.71, 11352.00, -8571.00, -4400.00
0.61, 0.65, 0.00, 0.67, 13156.00, -3120.00, 269.00
0.64, 0.63, 0.20, 0.68, 13611.00, 3725.00, 2823.00
0.67, 0.79, 0.61, 0.76, 8630.00, 9352.00, 3158.00
0.71, 0.61, 0.19, 0.96, 3878.00, 4624.00, 1029.00
0.74, 0.65, 0.06, 0.65, 17.00, 5441.00, 4502.00
0.77, 0.66, 0.02, 0.63, -445.00, 10240.00, 6718.00
0.81, 0.41, 0.19, 0.73, -2298.00, 8229.00, 7254.00
0.84, 0.48, 0.05, 0.85, -3220.00, 8907.00, 5278.00
0.87, 0.38, -0.14, 1.25, -5422.00, 8401.00, 3357.00
0.91, 0.66, 0.04, 0.96, -4312.00, 5394.00, -2272.00
0.94, 0.47, 0.02, 0.92, -5409.00, 3365.00, -4865.00
0.97, 0.54, -0.30, 1.08, -1881.00, 4277.00, -7315.00
1.01, 0.50, -0.06, 1.06, 5506.00, 2399.00, -10050.00
1.04, 0.24, -0.01, 0.97, 13202.00, -2671.00, -7121.00
1.07, 0.08, 0.23, 0.78, 10095.00, -1428.00, -3650.00
1.11, 0.34, 0.09, 0.89, 6545.00, 1227.00, 230.00
1.14, 0.21, 0.22, 1.01, 4034.00, 947.00, -2916.00
1.17, 0.50, 0.16, 0.88, 1382.00, 1743.00, -7606.00
1.21, 0.27, 0.18, 1.08, 1429.00, -890.00, -10703.00
1.24, 0.39, 0.27, 0.72, -48.00, -781.00, -10642.00
1.28, 0.07, 0.33, 1.00, 4805.00, -4605.00, -10958.00
1.30, 0.18, 0.30, 0.99, 2349.00, 3087.00, -7148.00
1.34, -0.09, 0.22, 0.72, 2393.00, 3533.00, -3392.00
1.37, 0.65, 0.15, 0.37, 11433.00, 15197.00, -7356.00
1.41, 0.57, 0.49, 0.82, 5298.00, 12569.00, -1107.00
1.44, 0.48, 0.26, 0.88, 3839.00, 2140.00, 1458.00
1.47, 0.30, 0.24, 0.73, 7224.00, 3924.00, 510.00
1.50, -0.06, 0.53, 1.30, 4455.00, 3990.00, 2190.00
1.54, 0.23, 0.31, 0.96, 1029.00, 3768.00, -1247.00
