Backpack Acceleration Sensor, Human Sensor Module
time, accX, accY, accZ, gyX, gyY, gyZ
0.00, 0.11, -0.00, 0.91, 1386.00, 202.00, -150.00
0.12, 0.01, 0.07, 1.00, 295.00, 370.00, -198.00
0.24, -0.00, 0.09, 1.00, 742.00, -132.00, 174.00
0.35, 0.04, 0.04, 0.97, -836.00, 118.00, 116.00
0.46, -0.01, -0.01, 1.00, -724.00, 604.00, -324.00
0.58, 0.03, 0.09, 0.99, 1419.00, 584.00, 22.00
0.69, -0.02, 0.06, 1.04, 857.00, -262.00, 680.00
0.80, 0.01, 0.08, 0.97, -133.00, -920.00, 78.00
0.91, 0.03, 0.00, 0.99, 258.00, 38.00, 676.00
1.03, 0.01, 0.04, 0.99, 58.00, 146.00, 450.00
1.14, 0.05, 0.06, 0.99, -626.00, 489.00, -149.00
1.25, -0.00, 0.03, 1.03, -489.00, -561.00, -402.00
1.37, -0.00, -0.02, 0.91, 356.00, -1017.00, -133.00
1.48, -0.01, 0.08, 0.97, 1099.00, -108.00, -503.00
1.60, 0.01, 0.13, 0.96, -888.00, 1762.00, 936.00
1.71, 0.06, 0.15, 1.06, -638.00, 1786.00, -569.00
1.83, -0.02, -0.08, 1.08, -618.00, -2528.00, 2.00
1.94, 0.01, 0.09, 0.91, 282.00, 1221.00, -1290.00
2.05, -0.01, 0.05, 1.02, -1418.00, 85.00, -730.00
2.17, -0.01, 0.00, 0.98, -352.00, -1566.00, 75.00
2.28, -0.04, 0.07, 0.95, -175.00, -680.00, -73.00
2.40, -0.05, 0.02, 0.96, -2032.00, -711.00, -218.00
2.51, -0.01, 0.01, 0.92, -1204.00, 232.00, -1082.00
2.63, -0.04, 0.00, 1.07, -1324.00, -984.00, -770.00
2.75, 0.01, 0.04, 1.01, -829.00, -148.00, 273.00
2.86, 0.02, 0.04, 0.96, 554.00, 571.00, -412.00
2.97, -0.07, 0.12, 0.96, -2020.00, 100.00, 956.00
3.09, 0.01, -0.13, 1.02, 1007.00, 959.00, 1518.00
3.20, -0.05, -0.01, 1.01, 1305.00, -1424.00, -790.00
3.32, 0.03, -0.00, 0.90, -237.00, -1660.00, -386.00
3.44, -0.02, 0.05, 1.01, 787.00, 302.00, -511.00
3.55, 0.00, 0.05, 0.97, 741.00, -44.00, 457.00
3.66, -0.03, 0.02, 0.99, 624.00, -1705.00, -61.00
3.77, 0.04, 0.04, 0.94, 119.00, 335.00, 71.00
3.88, -0.01, 0.08, 0.95, -283.00, -876.00, 329.00
4.00, 0.04, 0.01, 0.95, -247.00, 800.00, 79.00
4.11, -0.00, -0.01, 1.09, -794.00, -476.00, -422.00
4.23, 0.21, 0.04, 0.91, -3429.00, -314.00, -459.00
4.34, 0.08, -0.03, -0.06, -3835.00, 14701.00, -2185.00
4.46, 0.03, -0.03, -0.01, -3796.00, 14218.00, -1802.00
4.58, 0.03, -0.04, -0.01, -3391.00, 13169.00, -1703.00
4.70, 0.03, -0.05, -0.01, -2317.00, 11207.00, -2159.00
4.82, 0.28, 0.06, -0.06, -7339.00, -32768.00, -20953.00
4.94, 0.05, 0.00, -0.07, -7439.00, -32729.00, -19717.00
5.06, 2.00, -0.50, 1.28, -5658.00, -32768.00, 17774.00
5.18, 0.30, -0.35, -0.13, -19012.00, -21866.00, 32767.00
5.31, 0.45, -1.02, 0.09, 15327.00, 640.00, 17774.00
5.42, 0.41, -0.87, 0.30, 29512.00, 1277.00, 28709.00
5.54, 0.33, -0.69, 0.34, 32767.00, 31777.00, 19216.00
5.66, -0.52, 0.09, 0.78, -15528.00, -10962.00, -2098.00
5.78, -0.25, -0.29, 0.83, 5344.00, 5909.00, 1011.00
5.89, -0.36, -0.26, 0.96, 80.00, -397.00, 17.00
6.00, -0.32, -0.26, 0.91, 35.00, -271.00, 23.00
6.12, -0.30, -0.27, 0.89, 18.00, -45.00, 16.00
6.23, -0.30, -0.27, 0.90, 21.00, 95.00, -18.00
6.34, -0.30, -0.27, 0.90, 18.00, 35.00, -1.00
6.45, -0.30, -0.26, 0.90, 39.00, -36.00, 16.00
6.56, -0.30, -0.27, 0.89, 31.00, -34.00, -17.00
6.68, -0.30, -0.27, 0.89, 30.00, 9.00, 6.00
6.78, -0.30, -0.27, 0.89, 26.00, 17.00, -28.00
6.89, -0.30, -0.26, 0.89, 15.00, 19.00, -20.00
7.00, -0.30, -0.28, 0.90, 31.00, -2.00, 11.00
7.11, -0.30, -0.27, 0.90, 28.00, -2.00, 0.00
7.22, -0.30, -0.27, 0.89, 30.00, 6.00, -10.00
7.33, -0.31, -0.28, 0.90, 163.00, 238.00, 106.00
7.45, -0.12, -0.34, 0.72, -997.00, -12635.00, -1192.00
7.57, -0.40, -0.27, 0.85, -1681.00, -919.00, -277.00
7.69, 0.13, -0.06, 0.47, -500.00, 20389.00, 347.00
7.80, -1.11, -0.76, 0.93, -2989.00, -18866.00, -6842.00
7.92, -0.74, -1.13, 0.79, -14845.00, 21180.00, -7247.00
8.04, -0.68, -0.87, 0.29, -13969.00, 32767.00, -12652.00
8.16, -0.29, -0.67, 0.17, 4093.00, 32767.00, 11077.00
8.28, -0.83, -0.83, 0.12, 9073.00, -4346.00, 9471.00
8.40, -0.68, -0.35, -0.27, -11494.00, -20577.00, 5704.00
8.52, -0.64, -0.43, 0.21, -1602.00, 772.00, 5203.00
8.64, -0.63, -0.52, 0.10, 9198.00, -413.00, -4573.00
8.75, -0.46, -0.53, 0.17, 14197.00, 5295.00, 6768.00
8.87, -0.95, -0.67, 0.01, -9575.00, 13922.00, 9976.00
