Backpack Acceleration Sensor, Human Sensor Module
time, accX, accY, accZ, gyX, gyY, gyZ
0.00, -0.89, -0.33, 0.27, 1688.00, -104.00, -5099.00
0.04, -0.93, -0.18, 0.29, -65.00, 1020.00, -342.00
0.08, -0.84, -0.10, 0.17, -243.00, 643.00, 214.00
0.11, -0.85, -0.30, 0.25, 1401.00, -2029.00, 1499.00
0.14, -0.83, -0.22, 0.20, -1310.00, 235.00, 3031.00
0.18, -0.85, -0.28, 0.37, -1650.00, -941.00, 3901.00
0.21, -0.88, -0.23, 0.32, 360.00, 918.00, -1385.00
0.24, -0.88, -0.20, 0.20, 1253.00, 1192.00, -1887.00
0.28, -0.85, -0.23, 0.14, 1028.00, 581.00, -668.00
0.31, -0.90, -0.19, 0.22, 1670.00, -861.00, 200.00
0.34, -0.95, -0.21, 0.03, -2917.00, 5009.00, 3704.00
0.38, -1.03, -0.32, 0.28, 4011.00, -2945.00, 91.00
0.41, -0.80, -0.16, 0.21, 885.00, -615.00, 194.00
0.44, -1.04, -0.42, 0.22, 1345.00, 3584.00, 1790.00
0.48, -1.58, -0.29, 0.27, 1183.00, -12423.00, -6380.00
0.51, -0.99, -0.29, 0.33, 18603.00, -32768.00, -9050.00
0.55, -0.82, -0.01, 0.49, 21176.00, -32768.00, -9313.00
0.58, -0.55, -0.10, 0.53, 15585.00, -32768.00, 219.00
0.61, 0.13, 0.07, -0.36, -12031.00, -32205.00, 4730.00
0.64, -0.29, -0.64, 0.33, -17958.00, -267.00, 5466.00
0.68, -0.41, -0.47, 1.03, -2139.00, 2588.00, 894.00
0.71, -0.37, -0.31, 0.69, -43.00, 752.00, 1384.00
0.74, -0.66, -0.56, 0.80, 3158.00, 243.00, 6821.00
0.78, -0.81, -0.19, 1.01, 12673.00, -4066.00, 7145.00
0.81, -0.42, 0.34, 0.95, 12782.00, -2451.00, 8437.00
0.84, -0.52, 0.29, 0.81, 1719.00, -18065.00, 13273.00
0.88, -0.34, -0.13, 1.07, -2924.00, -32768.00, 15596.00
0.91, -0.08, -0.04, 0.77, -13038.00, -27711.00, 27078.00
0.94, -0.19, -0.24, 0.51, -22275.00, -32456.00, 15142.00
0.98, -0.23, -0.50, 0.07, -22915.00, -32768.00, -8952.00
1.01, -0.08, 0.30, -0.05, -6242.00, -32768.00, -20755.00
1.04, 0.92, -0.62, 1.97, -32768.00, 24667.00, 1494.00
1.08, -1.97, -0.79, 2.00, 32603.00, 694.00, 7490.00
1.11, -0.06, -0.63, 1.10, -2765.00, 2477.00, 202.00
1.14, 0.36, -0.45, 0.83, 602.00, 2426.00, 461.00
1.18, 0.19, -0.15, 1.00, 2034.00, 1172.00, 735.00
1.21, 0.17, -0.21, 0.94, 1720.00, 127.00, 2931.00
1.25, 0.11, -0.36, 0.90, 618.00, -439.00, 2736.00
1.27, 0.18, -0.23, 0.92, -465.00, -73.00, 3563.00
1.31, 0.13, -0.29, 0.96, -2154.00, 434.00, 3309.00
1.34, 0.01, -0.35, 0.93, -514.00, -1334.00, 2692.00
1.38, -0.01, -0.32, 1.02, 2010.00, -1179.00, 906.00
1.41, 0.02, -0.32, 0.97, 348.00, 308.00, -1437.00
1.44, 0.09, -0.28, 0.92, 604.00, 258.00, -3023.00
1.48, 0.17, -0.24, 0.98, 771.00, 299.00, -2188.00
1.51, 0.15, -0.24, 1.05, -2094.00, -592.00, -2442.00
1.54, 0.05, -0.16, 1.04, -1702.00, 64.00, 1841.00
1.58, -0.12, -0.30, 1.11, -1078.00, -5674.00, -231.00
1.61, 0.11, -0.27, 0.62, 4012.00, -1005.00, -1490.00
1.64, 0.35, -0.30, 0.99, 187.00, 573.00, -4422.00
1.67, 0.13, -0.18, 0.99, 5929.00, 3478.00, -3971.00
1.71, 0.31, -0.33, 0.99, -1371.00, 1302.00, -1647.00
1.74, 0.12, -0.25, 0.94, -3030.00, -837.00, -3907.00
1.77, 0.08, -0.28, 0.95, -2166.00, 477.00, -5341.00
1.81, 0.24, -0.28, 0.87, 1618.00, 54.00, 1633.00
1.84, 0.28, -0.16, 0.94, 1344.00, 217.00, 1777.00
1.88, 0.33, -0.22, 0.87, 2196.00, 4314.00, 3366.00
1.91, -0.03, -0.28, 1.08, -117.00, 1267.00, 4130.00
1.94, -0.23, -0.20, 0.88, -415.00, 446.00, 746.00
1.98, -0.18, -0.21, 0.96, -595.00, 1901.00, -2195.00
2.01, 0.05, -0.43, 1.03, -2569.00, -1738.00, -5073.00
2.04, 0.27, -0.23, 1.27, -5593.00, -2614.00, -4665.00
2.08, 0.32, -0.34, 1.02, -8893.00, -787.00, -6132.00
2.11, 0.11, -0.30, 1.00, -11159.00, -2245.00, -5264.00
2.14, 0.12, -0.30, 0.84, -10475.00, -115.00, -3731.00
2.17, 0.20, -0.34, 0.78, -7396.00, 673.00, -1471.00
2.21, 0.15, -0.27, 0.83, 228.00, 3950.00, 548.00
2.24, 0.10, -0.34, 0.80, 6002.00, 5656.00, 1559.00
2.27, 0.16, -0.52, 0.69, 7407.00, 4702.00, 1470.00
2.31, 0.15, -0.45, 0.85, 5558.00, 2632.00, 1362.00
2.34, 0.05, -0.41, 0.98, 5403.00, 2077.00, 1274.00
2.37, 0.12, -0.38, 0.91, 5625.00, 1360.00, 294.00
2.41, 0.12, -0.30, 0.96, 5277.00, -2034.00, 356.00
2.44, 0.03, -0.23, 0.96, 4313.00, -4823.00, 1094.00
2.48, 0.11, -0.19, 1.17, 1309.00, -6560.00, 2663.00
2.51, 0.17, -0.27, 1.29, -836.00, -1868.00, 2331.00
2.54, 0.05, -0.29, 0.93, 238.00, -650.00, 2241.00
2.57, 0.09, -0.24, 0.85, -717.00, -2180.00, 2355.00
2.61, 0.14, -0.20, 0.85, 691.00, -632.00, 2743.00
2.64, 0.19, -0.26, 0.95, 2546.00, -842.00, 3230.00
2.67, 0.13, -0.35, 1.19, -615.00, -2962.00, 3812.00
2.71, 0.02, -0.25, 0.86, 1791.00, -688.00, 4043.00
2.74, 0.14, -0.27, 1.05, -212.00, -1299.00, 3220.00
2.77, 0.10, -0.31, 0.97, -51.00, -2094.00, 433.00
2.81, 0.23, -0.23, 0.98, 430.00, 1791.00, -45.00
2.84, -0.15, -0.25, 0.95, 1090.00, 3998.00, 1666.00
2.88, -0.04, -0.23, 0.89, -1088.00, 1085.00, 689.00
2.91, 0.23, -0.20, 0.98, -1104.00, 4241.00, 18.00
2.94, 0.12, -0.31, 0.97, -724.00, 4055.00, 445.00
2.97, 0.06, -0.32, 0.95, -4996.00, 6119.00, -636.00
3.01, -0.07, -0.37, 0.90, -6690.00, 9033.00, -423.00
3.04, -0.05, -0.37, 0.83, -2891.00, 6480.00, -4461.00
3.07, 0.04, -0.15, 1.02, 1871.00, 136.00, -1073.00
3.11, 0.05, -0.08, 1.01, 5133.00, -4279.00, 1280.00
3.14, 0.03, -0.30, 0.89, 10843.00, -7707.00, 186.00
3.18, -0.13, -0.49, 1.07, 3731.00, -4815.00, -3596.00
3.21, 0.05, -0.28, 1.08, 657.00, -389.00, -2347.00
3.24, 0.10, -0.31, 0.98, -992.00, 800.00, -3029.00
3.27, 0.12, -0.20, 0.98, -487.00, 101.00, -1719.00
3.45, 0.09, -0.19, 0.83, -388.00, -452.00, 273.00
3.70, -0.07, -0.11, 1.00, 3714.00, -3368.00, -2306.00
3.92, 0.23, -0.16, 0.93, 1213.00, -1082.00, 472.00
4.16, 0.16, -0.12, 0.99, 787.00, 851.00, -355.00
4.39, 0.41, 0.04, 1.05, 3137.00, 2626.00, 4236.00
