Backpack Acceleration Sensor, Human Sensor Module
time, accX, accY, accZ, gyX, gyY, gyZ
0.00, 0.38, -0.04, 0.63, 31.00, 2637.00, -1369.00
0.04, -0.14, -0.11, 1.28, -4393.00, 737.00, -17.00
0.08, -0.14, -0.02, 0.97, -2655.00, 389.00, 1550.00
0.11, -0.16, -0.15, 1.13, -1835.00, 329.00, 2640.00
0.14, -0.23, -0.08, 1.09, -711.00, 334.00, 3000.00
0.18, -0.11, -0.26, 0.87, -5695.00, 308.00, 2581.00
0.21, 0.00, -0.05, 0.89, -3473.00, -1921.00, 3261.00
0.24, 0.06, -0.10, 1.04, 522.00, -2677.00, 5048.00
0.28, -0.03, -0.13, 1.02, -57.00, -799.00, 5993.00
0.31, -0.15, -0.11, 0.98, -1613.00, -1267.00, 5232.00
0.34, -0.26, -0.11, 0.95, -1785.00, -1744.00, 2820.00
0.38, -0.33, -0.13, 0.99, -2517.00, -849.00, -1702.00
0.41, -0.19, 0.00, 0.81, 113.00, -189.00, -6444.00
0.44, 0.16, -0.14, 0.77, 284.00, 327.00, -7032.00
0.48, 0.25, -0.17, 1.06, 3236.00, -748.00, -4320.00
0.51, 0.17, -0.10, 0.95, 4205.00, -2642.00, -4009.00
0.54, 0.22, -0.17, 1.11, 3366.00, -2886.00, -2041.00
0.58, 0.14, -0.16, 1.11, 839.00, -2328.00, -624.00
0.61, 0.07, -0.18, 1.01, -234.00, -1696.00, -231.00
0.64, -0.14, -0.16, 0.80, 777.00, 63.00, -2174.00
0.68, 0.07, -0.23, 1.13, -117.00, 1057.00, -2643.00
0.71, 0.10, -0.19, 1.05, -1772.00, 1131.00, -586.00
0.74, -0.03, -0.08, 0.93, -1191.00, 2795.00, 573.00
0.78, 0.15, -0.08, 1.06, -1858.00, 1078.00, 2129.00
0.81, 0.24, -0.02, 0.92, -1172.00, 782.00, 4351.00
0.85, -0.05, -0.02, 0.88, -220.00, 42.00, 3712.00
0.88, -0.11, -0.21, 1.07, -2923.00, 96.00, 2348.00
0.91, -0.23, -0.15, 0.98, -2592.00, 1490.00, 319.00
0.95, -0.15, -0.15, 0.91, -656.00, 851.00, -2868.00
0.98, 0.02, -0.13, 0.96, -712.00, -299.00, -4247.00
1.01, 0.08, -0.15, 0.93, -705.00, 1389.00, -4488.00
1.04, 0.08, -0.09, 0.86, -761.00, 2129.00, -4136.00
1.08, 0.05, -0.06, 0.97, 918.00, 1557.00, -2712.00
1.11, 0.07, -0.12, 0.96, 790.00, 265.00, -1575.00
1.14, -0.33, -0.17, 1.03, -196.00, 1068.00, -4018.00
1.17, -0.25, -0.22, 1.08, -2377.00, 998.00, -7159.00
1.21, 0.15, -0.14, 0.91, -1204.00, 1577.00, -6159.00
