Backpack Acceleration Sensor, Human Sensor Module
time, accX, accY, accZ, gyX, gyY, gyZ
0.00, -0.04, 0.04, 1.00, 646.00, -631.00, -902.00
0.11, -0.04, -0.02, 1.06, -691.00, -1136.00, 484.00
0.23, -0.04, 0.01, 1.04, 2170.00, -990.00, -318.00
0.34, 0.04, 0.02, 1.01, 817.00, -341.00, -431.00
0.46, -0.03, 0.07, 1.01, -110.00, -181.00, -535.00
0.57, 0.02, 0.02, 1.00, 1119.00, -329.00, 224.00
0.69, 0.05, 0.09, 0.94, 1430.00, 418.00, -585.00
0.80, 0.01, 0.01, 0.98, 1723.00, 352.00, 1151.00
0.91, 0.01, 0.04, 0.99, 2378.00, -291.00, -6.00
1.03, 0.03, 0.05, 0.99, 827.00, 679.00, 495.00
1.14, -0.05, 0.06, 1.03, -967.00, 749.00, -188.00
1.25, 0.01, -0.01, 1.01, -990.00, -128.00, -38.00
1.37, 0.01, 0.01, 0.90, 1401.00, 191.00, 460.00
1.48, -0.02, 0.05, 0.96, 534.00, 1155.00, 451.00
1.59, -0.05, 0.06, 1.02, 8.00, 1014.00, 51.00
1.70, -0.06, -0.01, 1.05, 547.00, 509.00, 380.00
1.81, -0.05, 0.09, 1.00, -637.00, -154.00, -916.00
1.93, -0.08, 0.01, 1.03, -1199.00, -11.00, -468.00
2.05, -0.03, 0.07, 0.97, 499.00, 163.00, -214.00
2.16, -0.07, 0.07, 0.98, 587.00, -86.00, 287.00
2.27, -0.08, -0.10, 1.07, 787.00, 671.00, 136.00
2.38, -0.04, 0.06, 1.01, 596.00, -133.00, 109.00
2.50, -0.07, 0.06, 1.01, 409.00, 250.00, -391.00
2.61, -0.05, 0.04, 0.95, 104.00, -706.00, -145.00
2.73, -0.06, 0.03, 0.99, -470.00, 2.00, -449.00
2.84, -0.06, 0.08, 0.98, -667.00, 150.00, -101.00
2.95, -0.08, 0.03, 0.98, -203.00, 457.00, -206.00
3.07, -0.07, 0.02, 1.01, -1033.00, 220.00, 185.00
3.18, -0.07, 0.05, 0.99, 219.00, -209.00, -151.00
3.30, -0.05, 0.02, 0.97, -98.00, -335.00, -13.00
3.41, -0.07, 0.05, 0.91, -995.00, 331.00, -267.00
3.52, -0.06, -0.03, 1.01, -629.00, 1351.00, -481.00
3.64, -0.13, 0.05, 1.01, -1612.00, -20.00, -817.00
3.75, -0.11, -0.01, 0.99, -2840.00, -880.00, -644.00
3.87, -0.10, 0.03, 0.95, -522.00, -500.00, -385.00
3.99, -0.08, 0.06, 0.99, -964.00, 4.00, -273.00
4.10, -0.09, 0.03, 1.00, 496.00, -670.00, -328.00
4.21, -0.08, 0.03, 0.96, 1003.00, 144.00, 821.00
4.33, -0.06, 0.09, 0.94, -479.00, 167.00, 86.00
4.44, -0.08, 0.05, 1.00, -1570.00, 748.00, -343.00
4.56, -0.09, 0.01, 1.07, 268.00, -504.00, -887.00
4.67, -0.04, -0.03, 0.99, -548.00, -3310.00, -829.00
4.79, 0.14, 0.12, 0.20, -3870.00, 15543.00, -3606.00
4.91, 0.05, -0.03, -0.04, -3728.00, 15287.00, -4611.00
5.03, 0.04, -0.03, -0.03, -3507.00, 14558.00, -4335.00
5.14, 0.04, -0.04, -0.02, -2796.00, 13000.00, -4472.00
5.26, -2.00, -2.00, 2.00, 14521.00, -32768.00, -15050.00
5.39, 0.02, 0.00, -0.11, 6969.00, -32768.00, -15962.00
5.51, 0.02, -0.00, -0.11, 7541.00, -32768.00, -13983.00
5.63, 1.70, 0.06, -0.27, 920.00, 10397.00, 10596.00
5.74, 0.85, -0.25, 0.18, 1238.00, 18215.00, 14580.00
5.86, 0.79, -0.46, 0.40, 3948.00, 23949.00, 1559.00
5.98, 0.54, -0.26, 0.32, 15775.00, 32767.00, -5065.00
6.09, -0.19, 0.09, 0.74, -5393.00, -20671.00, -713.00
6.22, 0.05, -0.24, 1.00, -649.00, 6155.00, 135.00
6.33, 0.11, -0.11, 0.99, -809.00, 758.00, 13.00
6.44, 0.06, -0.09, 0.99, 210.00, -169.00, -3.00
6.55, 0.07, -0.08, 0.99, -30.00, -72.00, -17.00
6.67, 0.08, -0.08, 0.99, 41.00, -21.00, -9.00
6.78, 0.07, -0.08, 1.00, 40.00, -9.00, -6.00
6.88, 0.07, -0.08, 1.00, -10.00, 3.00, -35.00
6.99, 0.08, -0.08, 0.99, 28.00, -3.00, 10.00
7.10, 0.07, -0.08, 0.99, 33.00, 1.00, 14.00
7.21, 0.07, -0.08, 0.99, 30.00, 11.00, 3.00
7.32, 0.07, -0.08, 0.99, 35.00, -1.00, -7.00
7.43, 0.07, -0.09, 1.00, 30.00, -2.00, -6.00
7.54, 0.07, -0.08, 0.99, 38.00, -13.00, -25.00
7.65, 0.07, -0.08, 0.99, 25.00, 10.00, 13.00
7.76, 0.07, -0.08, 1.00, 4.00, 1.00, 1.00
7.86, 0.07, -0.07, 0.99, 42.00, -10.00, 7.00
7.97, 0.07, -0.08, 1.00, 47.00, -12.00, -10.00
8.08, 0.08, -0.09, 0.99, 40.00, 20.00, 10.00
8.19, 0.08, -0.08, 0.99, 31.00, -3.00, -12.00
8.30, 0.06, -0.08, 0.99, 33.00, 0.00, 13.00
8.41, 0.07, -0.08, 0.99, 55.00, -13.00, 7.00
8.52, 0.07, -0.09, 1.00, 26.00, -4.00, -15.00
