Backpack Acceleration Sensor, Human Sensor Module
time, accX, accY, accZ, gyX, gyY, gyZ
10.81, 0.01, -0.62, 0.83, 20677.00, 3978.00, -3450.00
10.84, 0.09, -0.71, 0.72, 31511.00, 13777.00, -11611.00
10.88, 0.10, -0.62, 0.30, 32670.00, 23482.00, -22619.00
10.92, -1.35, 0.16, 2.00, 32767.00, 5010.00, -22076.00
10.96, -1.18, 1.15, 1.55, 29052.00, 1884.00, -9677.00
11.00, -0.54, 0.44, 0.69, 20079.00, -1572.00, -15713.00
11.14, 0.18, -0.20, 0.92, 6545.00, -22268.00, -32768.00
11.44, 0.10, -0.26, 0.69, 11259.00, -15173.00, 3541.00
11.46, 0.45, 0.30, 1.54, -12063.00, 23652.00, -15497.00
11.48, -0.44, 0.16, 1.44, -4206.00, -4290.00, -14416.00
11.53, 0.47, 0.30, 1.38, -5616.00, 5599.00, -11095.00
11.58, -0.11, 0.19, 1.13, -1126.00, -5154.00, -5705.00
11.62, 0.10, 0.24, 0.76, -115.00, 2988.00, -9892.00
11.74, -0.02, -0.00, 1.05, 7663.00, 6309.00, 409.00
11.77, -0.12, 0.10, 1.25, 5332.00, 7342.00, 5025.00
11.80, 0.15, 0.22, 0.77, -2283.00, 10564.00, 1672.00
11.84, 0.20, 0.29, 0.61, -16920.00, 14007.00, -7477.00
11.88, -0.84, -0.05, 1.79, -1038.00, -10894.00, 7491.00
11.92, -0.32, 0.00, 1.00, 2424.00, 2180.00, 4799.00
11.97, -0.27, 0.23, 0.92, 5006.00, 884.00, 4735.00
12.01, -0.09, 0.17, 1.20, 377.00, -1931.00, 726.00
12.05, -0.23, 0.19, 1.07, -2578.00, 1757.00, 3131.00
12.10, -0.20, -0.21, 0.91, -3436.00, -190.00, -425.00
12.14, -0.33, 0.31, 1.04, -6075.00, -3242.00, 2225.00
12.19, -0.22, -0.02, 0.76, -9211.00, -4830.00, -751.00
12.23, -0.62, 0.01, 0.90, -5551.00, -10608.00, -1659.00
12.28, 0.14, -0.14, 1.12, 3681.00, -3698.00, -4086.00
12.33, -0.23, -0.07, 1.20, -404.00, -8408.00, 1777.00
12.37, -0.48, -0.04, 1.19, 5766.00, -2127.00, -3792.00
12.42, -0.08, 0.12, 0.94, 1988.00, -3767.00, -566.00
12.47, -0.20, 0.16, 0.82, -4536.00, -8504.00, 3934.00
12.51, 0.24, -0.02, 1.54, -3363.00, 14444.00, 15789.00
12.56, 0.01, -0.15, 1.42, -1920.00, 1209.00, 3494.00
12.60, -0.52, 0.20, 1.45, 24.00, 4417.00, -4847.00
12.65, -0.57, -0.20, 0.89, -1659.00, -4571.00, 1579.00
12.69, 0.14, -0.12, 1.09, -2043.00, -2525.00, -2976.00
12.74, 0.31, 0.07, 1.03, -5912.00, 3181.00, 2700.00
12.78, -0.05, -0.34, 1.02, -797.00, 4739.00, 7839.00
12.83, -0.54, -0.07, 1.09, -1107.00, 779.00, -2362.00
12.87, -0.32, -0.12, 1.38, 8333.00, 472.00, 4301.00
12.92, -0.00, -0.05, 1.03, 10567.00, 8103.00, 6545.00
12.96, -0.07, 0.08, 1.07, 397.00, 3051.00, 1402.00
13.01, -0.07, 0.30, 1.11, -4837.00, -382.00, -1180.00
13.05, 0.20, 0.23, 0.94, -1835.00, -5387.00, 630.00
13.10, -0.52, -0.04, 0.95, -2218.00, 2636.00, -1016.00
13.14, -0.12, 0.05, 0.99, -655.00, 5979.00, 618.00
13.18, -0.45, -0.32, 1.05, -42.00, -740.00, 4356.00
13.23, -0.32, 0.03, 0.96, 713.00, -227.00, -1070.00
13.27, -0.15, 0.01, 0.99, -314.00, 75.00, -102.00
13.31, -0.38, -0.08, 1.12, -477.00, 637.00, -450.00
13.36, -0.29, -0.16, 1.01, -2779.00, 465.00, -583.00
13.40, -0.17, -0.21, 0.90, -6085.00, -3759.00, -763.00
13.45, -0.08, -0.10, 0.97, -1796.00, 611.00, 4008.00
13.49, -0.44, 0.01, 1.08, 3778.00, -2842.00, -320.00
13.54, -0.08, 0.00, 0.88, 3688.00, -313.00, -2258.00
13.59, -0.09, 0.00, 1.10, 7126.00, -144.00, 2469.00
13.63, -0.05, 0.07, 0.91, 5284.00, 3171.00, 2781.00
13.67, -0.09, 0.18, 1.17, 57.00, -2689.00, 1987.00
13.71, -0.24, 0.14, 1.05, -2514.00, -1534.00, -1087.00
13.76, -0.16, -0.15, 0.94, -703.00, -4078.00, 659.00
13.80, -0.31, 0.01, 0.99, 239.00, 92.00, 348.00
13.84, -0.03, 0.05, 0.99, 1604.00, -827.00, 1378.00
13.89, -0.10, 0.07, 1.05, -30.00, -103.00, 1086.00
13.93, -0.14, 0.02, 1.06, -1490.00, -2202.00, 493.00
13.97, -0.10, 0.06, 1.07, -5014.00, -2393.00, 3905.00
14.02, -0.60, -0.28, 1.38, -1760.00, -5097.00, -1862.00
14.07, -0.24, -0.21, 0.93, 2472.00, -596.00, -1667.00
14.11, -0.04, -0.13, 1.07, 4423.00, -3072.00, 426.00
14.16, -0.05, -0.01, 1.08, 5268.00, -552.00, 1539.00
14.20, -0.03, 0.19, 1.06, 3713.00, -477.00, -141.00
14.25, 0.17, 0.23, 1.02, 1433.00, 3545.00, -246.00
14.29, 0.42, -0.07, 0.41, -2226.00, 2772.00, 220.00
14.33, 0.07, -0.05, 1.02, -1417.00, -95.00, -1343.00
14.38, -0.28, -0.01, 1.10, -94.00, 1013.00, -1153.00
14.43, -0.09, -0.14, 0.93, 2575.00, 4100.00, -2694.00
14.47, -0.21, 0.03, 1.10, 35.00, 551.00, -2222.00
14.51, -0.33, -0.06, 1.19, -6357.00, -2440.00, 1201.00
14.56, -0.07, -0.02, 0.82, 4819.00, 1045.00, -713.00
14.60, 0.03, -0.11, 1.02, 4650.00, 1826.00, -2554.00
14.65, -0.17, -0.15, 1.10, 5105.00, 1841.00, 3051.00
14.69, -0.14, 0.25, 1.14, 5246.00, 249.00, 1123.00
14.73, -0.03, 0.16, 0.94, 1069.00, -888.00, 555.00
14.78, 0.15, -0.08, 1.12, 2964.00, 1304.00, -3.00
14.82, 0.02, 0.20, 0.84, -2009.00, -5189.00, 4428.00
14.86, -0.36, 0.10, 1.22, -3980.00, -4111.00, -89.00
14.91, -0.09, 0.57, 0.78, -1246.00, -439.00, 509.00
14.95, 0.06, 0.02, 0.86, -4258.00, 1030.00, 1254.00
15.00, -0.29, -0.03, 1.31, -1661.00, 3802.00, -2853.00
15.04, 0.08, -0.24, 1.05, -4095.00, -230.00, -2323.00
15.09, -0.17, -0.16, 1.14, -6236.00, -1117.00, -2877.00
15.14, -0.04, 0.11, 0.65, -3338.00, -1220.00, -4010.00
15.18, 0.06, -0.33, 1.22, 2031.00, -1752.00, -7595.00
15.23, 0.13, -0.28, 0.96, 1418.00, 685.00, -5356.00
15.27, 0.06, -0.10, 1.07, 4394.00, -198.00, -1922.00
15.32, -0.07, -0.29, 0.99, 5827.00, -1273.00, 2981.00
15.36, -0.10, 0.02, 1.14, 5863.00, -1545.00, 1697.00
15.41, -0.22, 0.25, 1.13, 2149.00, -380.00, 935.00
15.45, -0.11, 0.17, 1.01, -918.00, -1968.00, 1416.00
15.49, -0.03, -0.15, 1.22, 1682.00, 1286.00, 1281.00
15.54, -0.19, -0.08, 1.19, -2223.00, 342.00, -774.00
15.58, 0.06, -0.23, 0.85, -4962.00, -3398.00, -1373.00
15.63, 0.33, -0.31, 0.70, -17975.00, 662.00, -1948.00
15.68, -0.19, -0.67, 0.85, -2329.00, -2497.00, 5497.00
15.73, 0.05, -0.48, 0.97, -3205.00, -520.00, 5490.00
15.77, -0.33, -0.45, 1.27, 2938.00, 2511.00, -2434.00
15.81, -0.13, -0.37, 1.20, 4643.00, -5402.00, 462.00
15.86, -0.13, -0.21, 1.07, 10217.00, -2724.00, 2627.00
15.90, -0.27, -0.09, 1.33, 13127.00, -3236.00, 3487.00
15.95, 0.47, -0.09, 0.80, 6901.00, 2430.00, 4102.00
16.00, 0.01, -0.26, 0.98, 9092.00, 3044.00, 3146.00
16.04, 0.13, -0.33, 1.16, 6297.00, 562.00, 5806.00
16.08, -0.07, 0.01, 1.22, -613.00, -216.00, -657.00
16.13, 0.03, 0.16, 1.15, -4381.00, -4382.00, 3182.00
16.17, -0.37, -0.02, 1.11, -492.00, -2327.00, -1512.00
16.22, 0.21, 0.02, 0.85, 2545.00, -4926.00, 1276.00
16.26, 0.25, -0.10, 0.92, 3338.00, 1111.00, 2474.00
16.30, -0.46, -0.03, 1.53, 1550.00, 715.00, 6354.00
16.35, -0.06, -0.03, 1.13, 2923.00, 2581.00, 1774.00
16.39, -0.28, -0.09, 0.90, 8768.00, -2568.00, 3075.00
16.44, -0.02, 0.09, 1.29, -2481.00, -533.00, 3455.00
16.48, 0.22, 0.14, 1.02, -10851.00, -7715.00, 2100.00
16.53, 0.18, -0.03, 1.24, -16253.00, -9701.00, 4331.00
16.58, 0.28, -0.17, 1.18, -13421.00, -8183.00, 461.00
16.62, -0.03, -0.23, 1.05, 4415.00, 2637.00, -4422.00
16.67, 0.06, -0.11, 0.88, 4784.00, 3233.00, 789.00
16.71, -0.08, -0.13, 1.12, 2870.00, 1805.00, 606.00
16.75, -0.21, 0.09, 1.14, -472.00, -4289.00, 1893.00
16.80, 0.06, -0.23, 1.10, 1727.00, -564.00, -841.00
16.84, 0.34, 0.18, 0.92, 1798.00, 1095.00, -3926.00
